1A	1W	st'	2K	2A	2W	2R	2H	2M	2B	2G	st''	->	opt_action
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
0		1		-		0		0		0		0		0		0		0		1		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		0		2		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		0		3		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		0		4		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		0		5		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		0		6		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		0		7		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		0		8		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		1		0		-		->		p1_W_B
0		1		-		0		0		0		0		0		0		2		0		-		->		p1_W_B
0		1		-		0		0		0		0		0		0		2		2		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		2		4		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		2		6		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		2		8		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		3		0		-		->		p1_W_B
0		1		-		0		0		0		0		0		0		4		0		-		->		p1_W_B
0		1		-		0		0		0		0		0		0		4		2		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		4		4		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		4		6		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		4		8		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		5		0		-		->		p1_W_B
0		1		-		0		0		0		0		0		0		6		0		-		->		p1_W_B
0		1		-		0		0		0		0		0		0		6		2		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		6		4		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		6		6		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		6		8		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		7		0		-		->		p1_W_B
0		1		-		0		0		0		0		0		0		8		0		-		->		p1_W_B
0		1		-		0		0		0		0		0		0		8		2		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		8		4		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		8		6		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		8		8		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		9		0		-		->		p1_W_B
0		1		-		0		0		0		0		0		0		10	0		-		->		p1_W_B
0		1		-		0		0		0		0		0		0		10	2		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		10	4		-		->		p1_W_G
0		1		-		0		0		0		0		0		0		10	6		-		->		p1_W_G
